model,index,true_label,pred_label,deletion_auc,insertion_auc
PneumoXNet,35,BACTERIA,BACTERIA,0.5753411307930948,0.7615716859698295
PneumoXNet,38,BACTERIA,BACTERIA,0.5711243003606797,0.7173056870698928
PneumoXNet,265,BACTERIA,BACTERIA,0.5380823113024235,0.7392881333827974
PneumoXNet,316,BACTERIA,BACTERIA,0.7193136274814607,0.8175015047192573
PneumoXNet,82,BACTERIA,BACTERIA,0.5346291363239288,0.7990311458706856
PneumoXNet,299,BACTERIA,VIRUS,0.6879116274416447,0.640242137759924
PneumoXNet,408,BACTERIA,BACTERIA,0.6776448436081409,0.7943489335477353
PneumoXNet,305,BACTERIA,BACTERIA,0.24783836919814348,0.7743013814091684
PneumoXNet,178,BACTERIA,BACTERIA,0.2626138079911471,0.5003901652991771
PneumoXNet,350,BACTERIA,BACTERIA,0.4519233033061028,0.7565206244587898
PneumoXNet,176,BACTERIA,VIRUS,0.7787022784352302,0.6878100171685217
PneumoXNet,217,BACTERIA,VIRUS,0.668523409217596,0.5754881538450718
PneumoXNet,312,BACTERIA,BACTERIA,0.6092970922589303,0.8072424858808518
PneumoXNet,285,BACTERIA,BACTERIA,0.3580090522766114,0.7305834591388704
PneumoXNet,403,BACTERIA,BACTERIA,0.6372401922941209,0.7141888812184334
PneumoXNet,543,NORMAL,VIRUS,0.24928992837667463,0.47283194959163666
PneumoXNet,437,NORMAL,NORMAL,0.3975713248364628,0.7822544080205261
PneumoXNet,481,NORMAL,NORMAL,0.5321373707614839,0.8256013226695357
PneumoXNet,516,NORMAL,NORMAL,0.433056062553078,0.7640583562664688
PneumoXNet,595,NORMAL,NORMAL,0.325830470584333,0.7596265202388167
PneumoXNet,609,NORMAL,NORMAL,0.46331487819552425,0.7707069519907236
PneumoXNet,468,NORMAL,NORMAL,0.428888124972582,0.8196268195286394
PneumoXNet,501,NORMAL,NORMAL,0.6303244795650244,0.7857512820512056
PneumoXNet,431,NORMAL,NORMAL,0.4159456853754818,0.7437072186730802
PneumoXNet,455,NORMAL,NORMAL,0.5172492269426584,0.7698891747742891
PneumoXNet,615,NORMAL,NORMAL,0.3214353256858885,0.7054974478669463
PneumoXNet,564,NORMAL,NORMAL,0.5737047331407668,0.7103576008230446
PneumoXNet,620,NORMAL,NORMAL,0.38396780998446045,0.7287814353127033
PneumoXNet,583,NORMAL,NORMAL,0.5023232096806168,0.7282180862501264
PneumoXNet,518,NORMAL,NORMAL,0.5117867887020112,0.754014995880425
PneumoXNet,878,VIRUS,VIRUS,0.7225136026740075,0.8017181873321534
PneumoXNet,697,VIRUS,VIRUS,0.7198658935725689,0.7100245498120785
PneumoXNet,852,VIRUS,VIRUS,0.41315455138683316,0.7515111774206161
PneumoXNet,671,VIRUS,VIRUS,0.48561847284436227,0.7225453115999699
PneumoXNet,733,VIRUS,NORMAL,0.06487221214920282,0.5545491144061089
PneumoXNet,811,VIRUS,VIRUS,0.8015005685389043,0.6787041313946247
PneumoXNet,758,VIRUS,VIRUS,0.5572498623281716,0.6133812699466945
PneumoXNet,725,VIRUS,BACTERIA,0.5866129025816917,0.8185513108968734
PneumoXNet,831,VIRUS,VIRUS,0.560658349096775,0.853501544892788
PneumoXNet,863,VIRUS,BACTERIA,0.5154261089861393,0.8259352773427961
PneumoXNet,850,VIRUS,VIRUS,0.7562039524316787,0.8152063697576523
PneumoXNet,813,VIRUS,VIRUS,0.7877372346818446,0.7711216650903225
PneumoXNet,743,VIRUS,VIRUS,0.7048584364354611,0.8141508422791958
PneumoXNet,736,VIRUS,VIRUS,0.6018991783261298,0.6945764377713203
PneumoXNet,799,VIRUS,VIRUS,0.8996024459600449,0.8941927462816238
EfficientNet-B2,35,BACTERIA,BACTERIA,0.4885928399860858,0.7128832384943963
EfficientNet-B2,38,BACTERIA,BACTERIA,0.47696552798151975,0.6237545102834701
EfficientNet-B2,265,BACTERIA,BACTERIA,0.5065898396074773,0.6767563827335834
EfficientNet-B2,316,BACTERIA,BACTERIA,0.5575050003826619,0.5826552726328373
EfficientNet-B2,82,BACTERIA,BACTERIA,0.6572734065353869,0.6329280227422713
EfficientNet-B2,299,BACTERIA,BACTERIA,0.34795038178563115,0.4155899003148078
EfficientNet-B2,408,BACTERIA,BACTERIA,0.4355710461735725,0.6694778718054295
EfficientNet-B2,305,BACTERIA,BACTERIA,0.38526848927140234,0.5439404174685478
EfficientNet-B2,178,BACTERIA,BACTERIA,0.33083336576819417,0.4852627478539943
EfficientNet-B2,350,BACTERIA,BACTERIA,0.5025296576321125,0.5384251557290555
EfficientNet-B2,176,BACTERIA,VIRUS,0.6095074683427809,0.8404105812311172
EfficientNet-B2,217,BACTERIA,VIRUS,0.30575285479426384,0.6291760310530663
EfficientNet-B2,312,BACTERIA,BACTERIA,0.4521069779992104,0.7584186881780624
EfficientNet-B2,285,BACTERIA,BACTERIA,0.3346841424703599,0.4363747468218207
EfficientNet-B2,403,BACTERIA,BACTERIA,0.3388989411294461,0.6062579445540904
EfficientNet-B2,543,NORMAL,NORMAL,0.23831261433660988,0.5479159124195576
EfficientNet-B2,437,NORMAL,NORMAL,0.49938227310776717,0.7805565629154444
EfficientNet-B2,481,NORMAL,NORMAL,0.43728632591664796,0.8465425506234168
EfficientNet-B2,516,NORMAL,NORMAL,0.4959606546908617,0.8416486646980048
EfficientNet-B2,595,NORMAL,NORMAL,0.32312948722392326,0.7874835468828678
EfficientNet-B2,609,NORMAL,NORMAL,0.4470598101615906,0.8104027483612299
EfficientNet-B2,468,NORMAL,NORMAL,0.48137560412287717,0.8466100182384252
EfficientNet-B2,501,NORMAL,NORMAL,0.491070169210434,0.8111018113791942
EfficientNet-B2,431,NORMAL,NORMAL,0.3570195931941271,0.7554559949785471
EfficientNet-B2,455,NORMAL,NORMAL,0.5183037236332894,0.7556729562580586
EfficientNet-B2,615,NORMAL,NORMAL,0.34487106539309026,0.7794851776212455
EfficientNet-B2,564,NORMAL,NORMAL,0.47537225373089315,0.8090043604373932
EfficientNet-B2,620,NORMAL,NORMAL,0.3740541353821754,0.679177165031433
EfficientNet-B2,583,NORMAL,NORMAL,0.5027058778330684,0.73853745944798
EfficientNet-B2,518,NORMAL,NORMAL,0.5622370302677154,0.8143336348235607
EfficientNet-B2,878,VIRUS,VIRUS,0.6222517132759096,0.8359528750181199
EfficientNet-B2,697,VIRUS,VIRUS,0.5922612503170966,0.8070379614830018
EfficientNet-B2,852,VIRUS,VIRUS,0.37626159116625785,0.7154075101017953
EfficientNet-B2,671,VIRUS,VIRUS,0.6662057161331176,0.788614672422409
EfficientNet-B2,733,VIRUS,BACTERIA,0.23589691445231437,0.3874085363000631
EfficientNet-B2,811,VIRUS,VIRUS,0.5191682621836663,0.6718399003148079
EfficientNet-B2,758,VIRUS,BACTERIA,0.2375313691794872,0.4308176521211863
EfficientNet-B2,725,VIRUS,BACTERIA,0.42465822324156766,0.6377801649272441
EfficientNet-B2,831,VIRUS,VIRUS,0.5711811989545821,0.7878635108470917
EfficientNet-B2,863,VIRUS,BACTERIA,0.35433489009737973,0.5812706857919694
EfficientNet-B2,850,VIRUS,VIRUS,0.5103413835167885,0.8767423197627069
EfficientNet-B2,813,VIRUS,VIRUS,0.6572624519467355,0.8238608464598657
EfficientNet-B2,743,VIRUS,VIRUS,0.5935536980628968,0.8155174359679223
EfficientNet-B2,736,VIRUS,VIRUS,0.485030934214592,0.8123901724815369
EfficientNet-B2,799,VIRUS,VIRUS,0.7618101537227631,0.9121794834733009
